"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","outcome"
1366024,6,"Barmy Army","Warriors","female","2023",2023-04-09,"FairBreak Invitational Tournament","11","Kowloon Cricket Club","Kowloon","Warriors","field","DJS Dottin","CA Polosak","Humaira Farah","John Prakash","V Kalidas","SR Bernard","Barmy Army",NA,17,NA
1366025,6,"Sapphires","Falcons","female","2023",2023-04-11,"FairBreak Invitational Tournament","12","Kowloon Cricket Club","Kowloon","Falcons","field","AC Jayangani","Humaira Farah","John Prakash","Tabarak Dar","CA Polosak","SA Fritz","Falcons",9,NA,NA
1366026,6,"Tornadoes","Spirit","female","2023",2023-04-11,"FairBreak Invitational Tournament","13","Kowloon Cricket Club","Kowloon","Tornadoes","bat","NJ Carey","SJA Taufel","V Kalidas","AY Harris","JM Williams","SR Bernard","Spirit",6,NA,NA
1366027,6,"Barmy Army","Sapphires","female","2023",2023-04-12,"FairBreak Invitational Tournament","14","Kowloon Cricket Club","Kowloon","Sapphires","field","RC Belbashi","AY Harris","Sarika Prasad","V Kalidas","Shivani Mishra","SA Fritz","Barmy Army",NA,61,NA
1366028,6,"Spirit","Falcons","female","2023",2023-04-12,"FairBreak Invitational Tournament","15","Kowloon Cricket Club","Kowloon","Spirit","bat","AC Jayangani","John Prakash","Lauren Agenbag","Tabarak Dar","Humaira Farah","SR Bernard","Falcons",9,NA,NA
1366029,6,"Tornadoes","Sapphires","female","2023",2023-04-14,"FairBreak Invitational Tournament",NA,"Kowloon Cricket Club","Kowloon","Sapphires","field","C Sutthiruang","Humaira Farah","Shivani Mishra","John Prakash","Lauren Agenbag","SR Bernard","Tornadoes",NA,55,NA
1366030,6,"Spirit","Warriors","female","2023",2023-04-15,"FairBreak Invitational Tournament",NA,"Kowloon Cricket Club","Kowloon","Warriors","field","KE Bryce","Lauren Agenbag","Tabarak Dar","Sarika Prasad","CA Polosak","SR Bernard","Warriors",4,NA,NA
1366031,6,"Barmy Army","Falcons","female","2023",2023-04-15,"FairBreak Invitational Tournament",NA,"Kowloon Cricket Club","Kowloon","Falcons","field","AC Jayangani","AY Harris","V Kalidas","Shivani Mishra","JM Williams","SA Fritz","Falcons",6,NA,NA
1366032,6,"Barmy Army","Spirit","female","2023",2023-04-16,"FairBreak Invitational Tournament",NA,"Kowloon Cricket Club","Kowloon","Spirit","field","DJS Dottin","John Prakash","Sarika Prasad","Humaira Farah","Tabarak Dar","SR Bernard","Barmy Army",NA,22,NA
1366033,6,"Warriors","Falcons","female","2023",2023-04-16,"FairBreak Invitational Tournament",NA,"Kowloon Cricket Club","Kowloon","Falcons","field","HK Matthews","CA Polosak","JM Williams","Lauren Agenbag","AY Harris","SA Fritz","Warriors",NA,93,NA
